學生ID,班級,國文_期中成績,國文_期末成績,國文_平時成績,英文_期中成績,英文_期末成績,英文_平時成績,數學_期中成績,數學_期末成績,數學_平時成績,自然_期中成績,自然_期末成績,自然_平時成績,社會_期中成績,社會_期末成績,社會_平時成績,出席率(%),作業完成率(%)
S037,三年A班,70,69,61,82,94,92,71,84,67,80,77,73,81,83,79,64,59
S038,三年A班,64,79,84,64,71,54,71,87,79,80,87,68,91,84,97,79,91
S039,三年A班,81,87,92,69,94,74,65,88,59,100,100,100,54,47,56,83,56
S040,三年A班,54,47,45,71,69,72,58,67,68,81,86,80,74,76,63,77,59
S041,三年A班,71,77,75,72,57,70,68,77,72,58,59,68,76,77,68,79,79
S042,三年A班,65,58,69,67,60,75,55,62,61,70,61,73,71,62,78,87,78
S043,三年A班,85,88,80,71,79,70,75,81,63,65,64,58,68,56,62,87,96
S044,三年A班,41,48,50,62,35,43,71,67,81,44,33,45,72,65,73,82,50
S045,三年A班,64,63,59,62,68,86,76,100,94,80,79,82,79,93,77,73,98
S046,三年A班,80,89,88,48,57,58,56,47,55,61,65,77,81,89,94,87,51
S047,三年B班,62,67,74,60,65,65,75,89,79,57,49,51,51,35,45,100,57
S048,三年B班,84,92,79,82,85,81,85,100,100,42,36,45,67,60,63,90,78
S049,三年B班,78,71,71,62,79,72,36,57,48,63,63,70,65,75,72,88,56
S050,三年B班,70,81,75,66,67,53,55,68,77,100,99,100,76,84,81,65,87
S051,三年B班,77,78,72,66,57,63,44,33,32,51,58,52,67,51,63,72,64
S052,三年B班,63,75,52,59,50,59,42,48,52,72,73,84,66,71,69,75,69
S053,三年B班,81,96,81,73,82,80,79,77,90,55,66,69,73,74,77,88,82
S054,三年B班,70,63,64,75,81,62,74,95,100,84,86,73,79,70,77,76,63
S055,三年B班,83,86,100,68,59,72,55,59,69,77,88,88,58,52,56,83,54
S056,三年B班,70,77,71,72,53,50,76,94,87,69,71,72,60,44,58,68,54
S057,三年B班,69,67,74,76,84,79,74,81,77,63,52,66,66,65,78,71,81
S058,三年B班,78,81,72,80,70,74,85,89,84,58,63,63,82,80,95,85,73
S059,三年B班,47,44,47,60,52,26,67,70,89,70,91,82,66,65,61,71,81
S060,三年B班,58,64,85,73,86,58,75,77,74,71,63,64,75,84,84,71,100
S061,三年B班,60,62,45,71,69,67,76,80,78,79,86,83,74,76,73,68,99
S062,三年B班,72,69,82,75,79,80,76,78,80,55,52,55,67,68,64,99,96
S063,三年B班,67,78,79,65,68,54,61,69,85,78,64,85,82,71,87,89,63
S064,三年B班,100,100,100,59,65,57,84,86,75,76,80,76,77,69,70,89,81
S065,三年B班,59,69,63,64,43,73,57,66,64,72,81,66,80,85,75,84,82
S066,三年B班,84,90,82,62,81,85,61,64,45,38,48,35,68,77,83,79,87
S067,三年B班,73,71,77,80,77,82,46,44,45,52,66,59,83,84,79,84,59
S068,三年B班,53,62,55,100,100,100,47,26,31,68,83,74,82,89,92,76,89
S069,三年B班,87,87,88,58,61,66,62,73,67,75,63,69,100,98,100,65,72
S070,三年B班,66,68,81,87,97,100,52,57,55,87,90,100,72,89,79,72,98
S071,三年B班,54,61,67,79,83,77,46,30,34,88,78,76,64,69,72,81,68
S072,三年B班,67,69,85,57,70,65,53,48,61,82,74,82,66,71,70,75,50
S073,三年B班,59,67,62,59,60,40,38,43,53,76,74,73,68,68,76,98,73
S074,三年B班,80,70,81,63,54,63,63,46,63,96,100,100,81,73,73,63,79
S075,三年B班,46,54,62,61,63,64,55,66,65,34,35,26,75,83,85,83,74
S076,三年B班,60,64,44,72,75,75,60,59,62,75,76,80,60,52,50,62,92
S077,三年B班,84,85,75,59,71,78,74,81,63,65,65,71,72,84,74,79,59
S078,三年B班,73,81,80,49,38,40,52,46,41,78,98,74,77,80,83,86,76
S079,三年B班,89,89,95,100,100,97,57,67,85,95,100,87,65,70,65,67,97
S080,三年B班,100,100,100,79,74,78,95,94,84,75,75,84,70,76,77,97,96
S081,三年B班,82,86,84,79,95,96,85,75,80,75,73,74,74,74,79,63,98
S082,三年B班,63,67,75,97,100,100,47,84,82,81,85,76,59,64,53,75,62
S083,三年B班,81,85,80,65,69,62,58,59,57,78,93,69,62,65,60,66,83
S084,三年B班,73,79,72,86,96,93,26,28,24,89,90,83,85,99,100,68,100
S085,三年B班,68,82,68,73,82,77,64,69,63,67,54,60,72,73,74,64,55
S086,三年B班,58,59,54,69,74,66,90,100,95,61,54,43,89,96,88,75,86
S087,三年B班,64,80,76,78,78,71,62,53,46,90,96,96,89,99,96,98,58
S088,三年B班,54,58,52,72,80,65,73,52,62,71,80,82,64,76,75,64,100
S089,三年B班,63,60,70,68,77,74,64,55,51,83,86,85,67,75,74,70,91
S090,三年B班,54,58,47,85,97,100,68,63,73,88,85,84,83,89,76,82,69
S091,三年B班,88,90,82,82,82,64,88,100,87,73,67,70,63,58,55,87,75
S092,三年B班,59,59,52,80,86,74,52,40,51,79,76,83,96,100,93,79,89
S093,三年B班,86,87,77,81,86,88,58,70,47,76,77,73,77,65,85,72,74
S094,三年B班,75,96,97,50,88,72,44,53,45,58,59,63,77,78,80,94,63
S095,三年C班,64,67,63,97,100,100,72,55,81,91,87,78,70,66,61,77,88
S096,三年C班,83,98,95,84,88,100,66,70,60,71,77,68,81,85,79,100,100
S097,三年C班,79,67,61,50,53,50,80,87,94,63,73,65,89,99,84,96,81
S098,三年C班,59,63,61,75,85,72,35,38,36,55,64,62,70,76,74,74,77
S099,三年C班,67,71,68,45,32,49,65,73,52,89,95,95,57,58,56,69,54
S100,三年C班,49,38,42,94,100,100,72,46,59,75,80,71,85,100,88,79,63
S101,三年C班,68,69,62,63,53,62,37,34,29,66,63,65,79,68,74,64,50
S102,三年C班,47,37,47,58,78,63,36,49,42,67,61,65,95,100,100,63,65
S103,三年C班,67,55,56,79,78,81,38,30,53,76,68,72,92,89,94,64,66
S104,三年C班,58,59,50,55,70,69,18,37,31,75,72,74,86,81,80,80,65
S105,三年C班,79,69,87,98,83,90,80,86,82,62,71,70,84,84,83,91,99
S106,三年C班,98,91,99,51,52,65,74,68,93,54,66,63,100,100,98,86,94
S107,三年C班,70,76,68,73,95,92,56,42,62,87,92,90,77,80,75,88,79
S108,三年C班,67,67,61,71,64,60,28,5,3,79,83,97,86,100,100,66,79
S109,三年C班,78,69,78,77,73,89,53,48,48,69,74,80,59,63,76,96,77
S110,三年C班,71,56,66,62,67,75,46,58,55,100,100,100,95,100,100,82,80
S111,三年C班,100,95,95,88,77,75,53,58,69,38,43,40,72,74,64,84,72
S112,三年C班,61,66,47,84,96,80,62,56,47,67,82,67,83,81,93,81,95
S113,三年C班,65,81,72,60,75,69,82,70,67,95,96,94,76,80,66,99,100
S114,三年C班,52,53,53,81,83,69,82,99,83,67,69,65,64,77,76,100,96
S115,三年C班,75,74,73,49,67,66,57,65,64,64,65,72,70,58,63,80,66
S116,三年C班,77,88,89,64,82,77,65,85,84,59,70,57,74,75,79,96,85
S117,三年C班,72,77,76,62,38,46,32,31,13,63,73,60,87,83,92,89,66
S118,三年C班,52,51,52,91,87,98,58,51,41,92,80,81,77,63,77,99,59
S119,三年C班,61,62,49,57,76,59,59,74,59,82,93,87,63,54,60,99,87
S120,三年C班,79,100,91,64,80,73,54,42,53,53,59,60,57,72,57,90,67
S121,三年C班,64,73,74,63,72,53,24,36,34,53,59,57,65,69,66,70,54
S122,三年C班,81,89,83,86,73,79,76,58,70,67,57,62,70,85,77,76,97
S123,三年C班,91,84,83,84,87,90,92,91,90,90,89,94,72,91,87,77,77
S124,三年C班,82,92,80,55,45,54,75,94,89,74,88,86,47,37,45,75,53
S125,三年C班,66,81,61,55,74,56,65,90,73,80,85,86,58,56,63,95,61
S126,三年C班,83,88,87,44,75,75,86,95,100,67,72,70,59,62,47,93,69
S127,三年C班,63,70,52,65,85,67,66,71,73,64,55,57,100,100,100,87,90
S128,三年C班,69,63,65,89,77,88,60,52,59,73,69,67,63,73,73,68,71
S129,三年C班,66,68,73,89,83,89,44,34,30,69,72,63,78,71,71,67,76
S130,三年C班,77,80,70,75,74,56,64,86,86,62,62,75,81,92,84,95,81
S131,三年C班,93,100,100,87,100,84,64,55,49,82,85,76,82,78,95,87,97
S132,三年C班,69,65,69,50,43,60,44,38,46,66,72,73,64,69,67,66,76
S133,三年C班,55,52,56,82,73,90,69,73,80,51,67,62,79,79,77,81,83
S134,三年C班,77,67,77,81,93,76,73,84,88,65,75,79,71,71,80,89,78
S135,三年C班,57,64,59,60,74,47,39,35,45,88,100,100,86,85,88,99,88
S136,三年C班,63,76,64,45,57,39,59,77,62,37,36,38,65,54,52,86,52
S137,三年D班,99,100,100,60,69,74,62,58,59,41,49,55,65,82,83,84,76
S138,三年D班,68,74,63,88,87,75,54,62,58,73,75,89,72,84,81,100,70
S139,三年D班,60,71,63,61,56,68,50,32,26,78,86,84,77,98,89,94,52
S140,三年D班,92,95,92,77,95,97,59,67,64,87,100,96,76,72,69,83,98
S141,三年D班,77,65,56,63,68,62,51,64,56,80,80,76,75,63,69,79,81
S142,三年D班,88,93,89,80,80,93,45,51,35,75,75,89,96,100,100,99,65
S143,三年D班,70,75,87,67,87,70,51,52,52,57,62,66,69,61,58,73,93
S144,三年D班,65,59,54,71,75,85,73,62,77,60,61,45,63,55,49,99,54
S145,三年D班,54,50,42,54,56,72,49,63,61,74,82,86,83,78,77,83,50
S146,三年D班,78,88,91,67,76,56,41,27,38,58,54,55,77,80,90,78,92
S147,三年D班,65,61,65,49,46,44,75,54,57,52,66,54,55,49,48,83,58
S148,三年D班,98,100,100,45,34,47,71,71,100,62,47,44,69,83,89,94,80
S149,三年D班,71,66,63,52,41,63,83,86,84,61,56,54,62,76,66,62,64
S150,三年D班,100,100,100,70,76,75,82,87,91,79,69,82,86,79,78,74,83
S151,三年D班,80,87,88,60,70,61,81,85,96,38,30,29,73,80,79,75,52
S152,三年D班,54,46,37,79,82,59,56,68,49,83,83,84,68,80,66,92,66
S153,三年D班,52,65,67,63,58,77,74,64,70,43,33,31,93,92,87,87,83
S154,三年D班,73,76,77,61,60,42,33,39,49,80,93,80,68,80,82,73,94
S155,三年D班,79,58,72,44,47,43,43,34,36,67,59,74,85,86,87,74,78
S156,三年D班,73,92,88,61,66,61,43,37,56,81,87,82,80,73,64,71,90
S157,三年D班,56,74,73,100,100,100,76,88,100,65,59,61,58,58,56,95,87
S158,三年D班,72,74,83,68,89,73,74,78,84,66,61,60,78,87,97,97,51
S159,三年D班,72,66,70,95,91,100,98,100,100,45,46,55,85,79,81,72,81
S160,三年D班,56,69,69,70,71,76,43,33,34,63,54,62,67,65,82,85,64
S161,三年D班,62,72,61,78,97,89,58,42,60,93,97,96,90,100,96,71,81
S162,三年D班,86,96,90,72,86,77,51,34,36,61,70,57,68,78,72,76,85
S163,三年D班,75,65,54,77,69,58,50,50,43,80,81,70,89,88,84,92,81
S164,三年D班,68,79,76,65,49,73,81,100,98,74,78,81,67,67,58,70,61
S165,三年D班,87,96,72,71,73,86,57,54,49,55,53,49,52,51,51,93,60
S166,三年D班,83,94,84,100,100,100,64,65,66,57,65,59,64,65,70,60,83
S167,三年D班,71,70,62,85,81,97,62,77,78,78,84,87,76,70,71,99,94
S168,三年D班,80,85,80,72,77,67,64,79,53,71,70,71,71,75,70,91,73
S169,三年D班,68,63,84,76,79,88,86,72,71,61,60,68,77,83,76,90,74
S170,三年D班,64,73,78,86,84,83,33,36,65,69,55,58,63,69,62,65,65
S171,三年D班,71,66,68,58,75,59,71,79,89,71,73,77,77,77,73,78,84
S172,三年D班,72,64,64,66,66,66,57,68,71,50,47,48,69,68,71,93,93
S173,三年D班,49,49,61,77,76,83,70,61,55,100,100,100,81,90,92,73,91
S174,三年D班,93,87,85,57,39,40,74,86,80,57,84,71,66,64,58,86,97
S175,三年D班,75,99,84,32,5,15,62,76,73,55,45,51,79,82,73,95,97
S176,三年D班,82,95,97,64,54,63,39,55,39,67,54,59,63,56,70,74,66
S177,三年D班,66,55,59,79,72,75,66,75,58,79,83,88,80,86,78,74,97
S178,三年D班,75,84,84,48,49,50,50,50,46,87,96,87,88,79,100,92,77
S179,三年D班,76,84,70,87,96,98,93,89,86,66,75,73,80,90,85,88,89
S180,三年D班,65,68,63,63,84,70,60,59,80,72,77,78,85,98,99,61,74
S181,三年D班,75,87,91,66,64,71,50,63,67,65,58,54,72,74,80,94,55
S182,三年D班,90,83,89,59,53,52,79,93,98,63,57,76,57,70,60,68,55
S183,三年D班,63,80,63,92,99,79,45,59,63,64,74,75,65,65,65,96,60
S184,三年D班,87,82,88,62,59,65,67,66,64,49,65,76,81,95,82,82,55
S185,三年D班,52,62,59,53,49,49,59,55,72,50,25,30,58,74,52,89,65
S186,三年D班,82,76,97,81,79,72,63,78,63,69,73,88,61,55,69,78,79
S187,三年E班,74,75,86,82,100,88,60,59,72,54,63,66,71,90,86,70,95
S188,三年E班,92,96,100,63,70,57,49,64,62,49,49,57,72,91,87,72,50
S189,三年E班,69,71,78,77,78,69,87,85,84,58,72,57,84,87,86,98,69
S190,三年E班,86,96,99,65,69,72,41,48,40,52,42,47,64,74,65,73,94
S191,三年E班,78,90,90,83,94,94,64,84,80,71,75,69,59,73,74,72,50
S192,三年E班,94,94,89,82,76,70,76,77,91,62,65,72,68,75,78,90,80
S193,三年E班,82,75,88,52,56,56,52,55,60,82,85,75,73,76,81,100,84
S194,三年E班,96,100,100,87,81,74,67,96,85,64,64,50,71,66,70,93,69
S195,三年E班,73,81,81,71,85,80,64,75,65,58,70,68,67,71,73,80,62
S196,三年E班,74,65,68,62,50,57,39,61,48,86,100,85,79,79,79,87,75
S197,三年E班,81,82,87,39,52,47,51,58,59,73,82,73,76,69,67,99,66
S198,三年E班,61,63,73,86,86,94,83,83,63,60,54,55,84,84,79,90,74
S199,三年E班,70,68,57,57,64,49,57,74,70,63,60,50,70,61,61,80,81
S200,三年E班,62,79,57,31,20,34,64,55,49,61,63,46,66,62,71,68,68
S201,三年E班,87,87,80,34,45,55,79,76,70,71,72,76,84,90,88,68,58
S202,三年E班,99,100,100,36,23,16,56,59,70,62,62,59,59,53,56,96,73
S203,三年E班,89,97,91,83,89,93,54,54,44,61,61,59,90,91,89,94,99
S204,三年E班,62,62,76,86,82,91,86,92,97,100,100,100,57,51,63,99,67
S205,三年E班,50,41,46,62,54,64,71,72,71,84,82,97,67,83,67,70,63
S206,三年E班,72,84,72,87,97,95,38,45,52,79,94,94,76,70,74,87,89
S207,三年E班,74,82,89,35,38,36,75,94,100,61,66,77,55,42,58,72,52
S208,三年E班,59,72,71,64,75,60,67,69,65,82,94,100,64,72,71,80,66
S209,三年E班,74,76,77,55,71,58,76,74,82,44,70,61,56,64,57,88,51
S210,三年E班,63,41,46,47,56,58,68,60,47,69,76,79,82,80,74,100,91
S211,三年E班,69,85,80,70,69,65,73,60,73,67,73,67,69,69,65,94,91
S212,三年E班,68,61,77,79,97,71,65,69,61,92,92,93,74,84,70,71,90
S213,三年E班,74,79,72,60,72,71,38,24,38,67,55,48,78,71,68,81,54
S214,三年E班,59,65,59,32,36,37,62,73,73,54,69,62,56,62,73,86,65
S215,三年E班,81,91,86,83,90,71,61,35,47,72,77,64,80,92,88,90,81
S216,三年E班,75,78,85,72,76,71,66,51,38,82,91,90,62,53,71,86,62
S217,三年E班,87,84,77,79,88,94,81,89,78,76,100,87,73,82,73,100,89
S218,三年E班,72,77,72,89,100,97,78,80,81,78,90,94,73,71,72,85,80
S219,三年E班,72,76,71,53,54,42,53,54,44,96,100,94,65,69,61,100,79
S220,三年E班,60,71,72,57,50,53,39,34,56,69,72,56,77,66,73,95,95
S221,三年E班,62,76,77,64,79,74,70,68,70,78,80,79,66,52,59,88,89
S222,三年E班,66,69,56,55,71,54,61,52,55,76,77,71,77,87,91,72,54
S223,三年E班,67,68,67,46,46,48,68,74,81,70,64,72,64,82,78,99,60
S224,三年E班,80,76,58,61,51,71,57,34,38,60,53,48,69,76,64,80,59
S225,三年E班,64,56,64,73,63,70,53,54,75,62,74,80,70,76,80,63,88
S226,三年E班,72,82,75,86,91,84,62,40,59,100,100,94,90,81,85,88,97
S227,三年E班,75,86,84,42,33,31,73,81,67,71,69,77,72,77,89,68,62
S228,三年E班,81,93,80,66,64,69,55,44,65,76,84,80,82,94,88,97,80
S229,三年E班,92,100,100,53,48,36,39,27,26,84,89,83,79,91,91,71,98
S230,三年E班,62,66,61,94,100,100,79,97,83,62,72,73,98,98,99,94,95
