學生ID,班級,科目,期中成績,期末成績,平時成績,出席率(%),作業完成率(%)
S015,三年A班,國文,87,87,87,60,83
S015,三年A班,英文,57,51,47,60,83
S015,三年A班,數學,78,64,62,60,83
S015,三年A班,自然,78,86,92,60,83
S015,三年A班,社會,65,54,59,60,83
S016,三年A班,國文,70,62,62,78,63
S016,三年A班,英文,57,62,65,78,63
S016,三年A班,數學,51,34,41,78,63
S016,三年A班,自然,77,68,72,78,63
S016,三年A班,社會,75,61,68,78,63
S017,三年A班,國文,57,53,62,86,90
S017,三年A班,英文,87,100,87,86,90
S017,三年A班,數學,70,95,63,86,90
S017,三年A班,自然,62,68,73,86,90
S017,三年A班,社會,67,70,75,86,90
S018,三年A班,國文,50,61,68,87,85
S018,三年A班,英文,70,52,58,87,85
S018,三年A班,數學,65,66,58,87,85
S018,三年A班,自然,76,73,78,87,85
S018,三年A班,社會,82,80,85,87,85
S019,三年A班,國文,85,84,89,86,74
S019,三年A班,英文,54,42,63,86,74
S019,三年A班,數學,78,80,75,86,74
S019,三年A班,自然,64,62,63,86,74
S019,三年A班,社會,69,62,73,86,74
S020,三年A班,國文,84,86,83,61,75
S020,三年A班,英文,74,70,64,61,75
S020,三年A班,數學,66,68,91,61,75
S020,三年A班,自然,77,74,78,61,75
S020,三年A班,社會,72,73,69,61,75
S021,三年A班,國文,79,69,88,75,62
S021,三年A班,英文,88,90,99,75,62
S021,三年A班,數學,85,87,80,75,62
S021,三年A班,自然,84,74,71,75,62
S021,三年A班,社會,79,81,84,75,62
S022,三年A班,國文,93,100,100,79,93
S022,三年A班,英文,62,72,59,79,93
S022,三年A班,數學,91,100,100,79,93
S022,三年A班,自然,82,72,86,79,93
S022,三年A班,社會,75,72,72,79,93
S023,三年A班,國文,67,80,61,97,67
S023,三年A班,英文,74,73,68,97,67
S023,三年A班,數學,52,65,55,97,67
S023,三年A班,自然,86,82,79,97,67
S023,三年A班,社會,73,84,67,97,67
S024,三年A班,國文,79,75,83,88,100
S024,三年A班,英文,65,60,73,88,100
S024,三年A班,數學,65,57,62,88,100
S024,三年A班,自然,72,70,74,88,100
S024,三年A班,社會,71,75,85,88,100
S025,三年A班,國文,93,92,89,98,68
S025,三年A班,英文,88,90,89,98,68
S025,三年A班,數學,82,82,88,98,68
S025,三年A班,自然,70,60,81,98,68
S025,三年A班,社會,76,72,66,98,68
S026,三年A班,國文,61,70,64,69,59
S026,三年A班,英文,52,52,55,69,59
S026,三年A班,數學,44,47,58,69,59
S026,三年A班,自然,63,69,65,69,59
S026,三年A班,社會,56,62,63,69,59
S027,三年A班,國文,53,63,54,70,50
S027,三年A班,英文,75,88,83,70,50
S027,三年A班,數學,64,56,64,70,50
S027,三年A班,自然,72,71,73,70,50
S027,三年A班,社會,74,70,69,70,50
S028,三年A班,國文,80,81,90,79,94
S028,三年A班,英文,47,40,51,79,94
S028,三年A班,數學,67,81,61,79,94
S028,三年A班,自然,75,62,76,79,94
S028,三年A班,社會,89,87,100,79,94
S029,三年A班,國文,57,60,60,91,55
S029,三年A班,英文,77,75,72,91,55
S029,三年A班,數學,66,68,68,91,55
S029,三年A班,自然,41,66,54,91,55
S029,三年A班,社會,84,91,86,91,55
S030,三年A班,國文,75,70,88,77,85
S030,三年A班,英文,89,97,95,77,85
S030,三年A班,數學,66,71,85,77,85
S030,三年A班,自然,89,84,88,77,85
S030,三年A班,社會,92,86,90,77,85
S031,三年A班,國文,78,94,95,69,74
S031,三年A班,英文,78,75,88,69,74
S031,三年A班,數學,88,95,83,69,74
S031,三年A班,自然,48,42,49,69,74
S031,三年A班,社會,56,75,71,69,74
S032,三年A班,國文,80,63,74,86,52
S032,三年A班,英文,89,92,93,86,52
S032,三年A班,數學,57,62,67,86,52
S032,三年A班,自然,90,100,100,86,52
S032,三年A班,社會,49,49,46,86,52
S033,三年A班,國文,84,92,99,85,91
S033,三年A班,英文,65,60,65,85,91
S033,三年A班,數學,67,85,97,85,91
S033,三年A班,自然,92,96,89,85,91
S033,三年A班,社會,76,79,71,85,91
S034,三年A班,國文,83,83,77,75,83
S034,三年A班,英文,59,58,54,75,83
S034,三年A班,數學,57,45,59,75,83
S034,三年A班,自然,61,66,83,75,83
S034,三年A班,社會,64,76,68,75,83
S035,三年A班,國文,94,93,90,79,62
S035,三年A班,英文,75,98,89,79,62
S035,三年A班,數學,92,99,100,79,62
S035,三年A班,自然,57,76,58,79,62
S035,三年A班,社會,75,70,72,79,62
S036,三年A班,國文,54,51,54,68,90
S036,三年A班,英文,83,84,84,68,90
S036,三年A班,數學,79,84,62,68,90
S036,三年A班,自然,62,62,85,68,90
S036,三年A班,社會,66,76,63,68,90
S037,三年A班,國文,70,69,61,64,59
S037,三年A班,英文,82,94,92,64,59
S037,三年A班,數學,71,84,67,64,59
S037,三年A班,自然,80,77,73,64,59
S037,三年A班,社會,81,83,79,64,59
S038,三年A班,國文,64,79,84,79,91
S038,三年A班,英文,64,71,54,79,91
S038,三年A班,數學,71,87,79,79,91
S038,三年A班,自然,80,87,68,79,91
S038,三年A班,社會,91,84,97,79,91
S039,三年A班,國文,81,87,92,83,56
S039,三年A班,英文,69,94,74,83,56
S039,三年A班,數學,65,88,59,83,56
S039,三年A班,自然,100,100,100,83,56
S039,三年A班,社會,54,47,56,83,56
S040,三年A班,國文,54,47,45,77,59
S040,三年A班,英文,71,69,72,77,59
S040,三年A班,數學,58,67,68,77,59
S040,三年A班,自然,81,86,80,77,59
S040,三年A班,社會,74,76,63,77,59
S041,三年A班,國文,71,77,75,79,79
S041,三年A班,英文,72,57,70,79,79
S041,三年A班,數學,68,77,72,79,79
S041,三年A班,自然,58,59,68,79,79
S041,三年A班,社會,76,77,68,79,79
S042,三年A班,國文,65,58,69,87,78
S042,三年A班,英文,67,60,75,87,78
S042,三年A班,數學,55,62,61,87,78
S042,三年A班,自然,70,61,73,87,78
S042,三年A班,社會,71,62,78,87,78
S043,三年A班,國文,85,88,80,87,96
S043,三年A班,英文,71,79,70,87,96
S043,三年A班,數學,75,81,63,87,96
S043,三年A班,自然,65,64,58,87,96
S043,三年A班,社會,68,56,62,87,96
S044,三年A班,國文,41,48,50,82,50
S044,三年A班,英文,62,35,43,82,50
S044,三年A班,數學,71,67,81,82,50
S044,三年A班,自然,44,33,45,82,50
S044,三年A班,社會,72,65,73,82,50
S045,三年A班,國文,64,63,59,73,98
S045,三年A班,英文,62,68,86,73,98
S045,三年A班,數學,76,100,94,73,98
S045,三年A班,自然,80,79,82,73,98
S045,三年A班,社會,79,93,77,73,98
S046,三年A班,國文,80,89,88,87,51
S046,三年A班,英文,48,57,58,87,51
S046,三年A班,數學,56,47,55,87,51
S046,三年A班,自然,61,65,77,87,51
S046,三年A班,社會,81,89,94,87,51
S047,三年B班,國文,62,67,74,100,57
S047,三年B班,英文,60,65,65,100,57
S047,三年B班,數學,75,89,79,100,57
S047,三年B班,自然,57,49,51,100,57
S047,三年B班,社會,51,35,45,100,57
S048,三年B班,國文,84,92,79,90,78
S048,三年B班,英文,82,85,81,90,78
S048,三年B班,數學,85,100,100,90,78
S048,三年B班,自然,42,36,45,90,78
S048,三年B班,社會,67,60,63,90,78
S049,三年B班,國文,78,71,71,88,56
S049,三年B班,英文,62,79,72,88,56
S049,三年B班,數學,36,57,48,88,56
S049,三年B班,自然,63,63,70,88,56
S049,三年B班,社會,65,75,72,88,56
S050,三年B班,國文,70,81,75,65,87
S050,三年B班,英文,66,67,53,65,87
S050,三年B班,數學,55,68,77,65,87
S050,三年B班,自然,100,99,100,65,87
S050,三年B班,社會,76,84,81,65,87
S051,三年B班,國文,77,78,72,72,64
S051,三年B班,英文,66,57,63,72,64
S051,三年B班,數學,44,33,32,72,64
S051,三年B班,自然,51,58,52,72,64
S051,三年B班,社會,67,51,63,72,64
S052,三年B班,國文,63,75,52,75,69
S052,三年B班,英文,59,50,59,75,69
S052,三年B班,數學,42,48,52,75,69
S052,三年B班,自然,72,73,84,75,69
S052,三年B班,社會,66,71,69,75,69
S053,三年B班,國文,81,96,81,88,82
S053,三年B班,英文,73,82,80,88,82
S053,三年B班,數學,79,77,90,88,82
S053,三年B班,自然,55,66,69,88,82
S053,三年B班,社會,73,74,77,88,82
S054,三年B班,國文,70,63,64,76,63
S054,三年B班,英文,75,81,62,76,63
S054,三年B班,數學,74,95,100,76,63
S054,三年B班,自然,84,86,73,76,63
S054,三年B班,社會,79,70,77,76,63
S055,三年B班,國文,83,86,100,83,54
S055,三年B班,英文,68,59,72,83,54
S055,三年B班,數學,55,59,69,83,54
S055,三年B班,自然,77,88,88,83,54
S055,三年B班,社會,58,52,56,83,54
S056,三年B班,國文,70,77,71,68,54
S056,三年B班,英文,72,53,50,68,54
S056,三年B班,數學,76,94,87,68,54
S056,三年B班,自然,69,71,72,68,54
S056,三年B班,社會,60,44,58,68,54
S057,三年B班,國文,69,67,74,71,81
S057,三年B班,英文,76,84,79,71,81
S057,三年B班,數學,74,81,77,71,81
S057,三年B班,自然,63,52,66,71,81
S057,三年B班,社會,66,65,78,71,81
S058,三年B班,國文,78,81,72,85,73
S058,三年B班,英文,80,70,74,85,73
S058,三年B班,數學,85,89,84,85,73
S058,三年B班,自然,58,63,63,85,73
S058,三年B班,社會,82,80,95,85,73
S059,三年B班,國文,47,44,47,71,81
S059,三年B班,英文,60,52,26,71,81
S059,三年B班,數學,67,70,89,71,81
S059,三年B班,自然,70,91,82,71,81
S059,三年B班,社會,66,65,61,71,81
S060,三年B班,國文,58,64,85,71,100
S060,三年B班,英文,73,86,58,71,100
S060,三年B班,數學,75,77,74,71,100
S060,三年B班,自然,71,63,64,71,100
S060,三年B班,社會,75,84,84,71,100
S061,三年B班,國文,60,62,45,68,99
S061,三年B班,英文,71,69,67,68,99
S061,三年B班,數學,76,80,78,68,99
S061,三年B班,自然,79,86,83,68,99
S061,三年B班,社會,74,76,73,68,99
S062,三年B班,國文,72,69,82,99,96
S062,三年B班,英文,75,79,80,99,96
S062,三年B班,數學,76,78,80,99,96
S062,三年B班,自然,55,52,55,99,96
S062,三年B班,社會,67,68,64,99,96
S063,三年B班,國文,67,78,79,89,63
S063,三年B班,英文,65,68,54,89,63
S063,三年B班,數學,61,69,85,89,63
S063,三年B班,自然,78,64,85,89,63
S063,三年B班,社會,82,71,87,89,63
S064,三年B班,國文,100,100,100,89,81
S064,三年B班,英文,59,65,57,89,81
S064,三年B班,數學,84,86,75,89,81
S064,三年B班,自然,76,80,76,89,81
S064,三年B班,社會,77,69,70,89,81
S065,三年B班,國文,59,69,63,84,82
S065,三年B班,英文,64,43,73,84,82
S065,三年B班,數學,57,66,64,84,82
S065,三年B班,自然,72,81,66,84,82
S065,三年B班,社會,80,85,75,84,82
S066,三年B班,國文,84,90,82,79,87
S066,三年B班,英文,62,81,85,79,87
S066,三年B班,數學,61,64,45,79,87
S066,三年B班,自然,38,48,35,79,87
S066,三年B班,社會,68,77,83,79,87
S067,三年B班,國文,73,71,77,84,59
S067,三年B班,英文,80,77,82,84,59
S067,三年B班,數學,46,44,45,84,59
S067,三年B班,自然,52,66,59,84,59
S067,三年B班,社會,83,84,79,84,59
S068,三年B班,國文,53,62,55,76,89
S068,三年B班,英文,100,100,100,76,89
S068,三年B班,數學,47,26,31,76,89
S068,三年B班,自然,68,83,74,76,89
S068,三年B班,社會,82,89,92,76,89
S069,三年B班,國文,87,87,88,65,72
S069,三年B班,英文,58,61,66,65,72
S069,三年B班,數學,62,73,67,65,72
S069,三年B班,自然,75,63,69,65,72
S069,三年B班,社會,100,98,100,65,72
S070,三年B班,國文,66,68,81,72,98
S070,三年B班,英文,87,97,100,72,98
S070,三年B班,數學,52,57,55,72,98
S070,三年B班,自然,87,90,100,72,98
S070,三年B班,社會,72,89,79,72,98
S071,三年B班,國文,54,61,67,81,68
S071,三年B班,英文,79,83,77,81,68
S071,三年B班,數學,46,30,34,81,68
S071,三年B班,自然,88,78,76,81,68
S071,三年B班,社會,64,69,72,81,68
S072,三年B班,國文,67,69,85,75,50
S072,三年B班,英文,57,70,65,75,50
S072,三年B班,數學,53,48,61,75,50
S072,三年B班,自然,82,74,82,75,50
S072,三年B班,社會,66,71,70,75,50
S073,三年B班,國文,59,67,62,98,73
S073,三年B班,英文,59,60,40,98,73
S073,三年B班,數學,38,43,53,98,73
S073,三年B班,自然,76,74,73,98,73
S073,三年B班,社會,68,68,76,98,73
S074,三年B班,國文,80,70,81,63,79
S074,三年B班,英文,63,54,63,63,79
S074,三年B班,數學,63,46,63,63,79
S074,三年B班,自然,96,100,100,63,79
S074,三年B班,社會,81,73,73,63,79
S075,三年B班,國文,46,54,62,83,74
S075,三年B班,英文,61,63,64,83,74
S075,三年B班,數學,55,66,65,83,74
S075,三年B班,自然,34,35,26,83,74
S075,三年B班,社會,75,83,85,83,74
S076,三年B班,國文,60,64,44,62,92
S076,三年B班,英文,72,75,75,62,92
S076,三年B班,數學,60,59,62,62,92
S076,三年B班,自然,75,76,80,62,92
S076,三年B班,社會,60,52,50,62,92
S077,三年B班,國文,84,85,75,79,59
S077,三年B班,英文,59,71,78,79,59
S077,三年B班,數學,74,81,63,79,59
S077,三年B班,自然,65,65,71,79,59
S077,三年B班,社會,72,84,74,79,59
S078,三年B班,國文,73,81,80,86,76
S078,三年B班,英文,49,38,40,86,76
S078,三年B班,數學,52,46,41,86,76
S078,三年B班,自然,78,98,74,86,76
S078,三年B班,社會,77,80,83,86,76
S079,三年B班,國文,89,89,95,67,97
S079,三年B班,英文,100,100,97,67,97
S079,三年B班,數學,57,67,85,67,97
S079,三年B班,自然,95,100,87,67,97
S079,三年B班,社會,65,70,65,67,97
S080,三年B班,國文,100,100,100,97,96
S080,三年B班,英文,79,74,78,97,96
S080,三年B班,數學,95,94,84,97,96
S080,三年B班,自然,75,75,84,97,96
S080,三年B班,社會,70,76,77,97,96
S081,三年B班,國文,82,86,84,63,98
S081,三年B班,英文,79,95,96,63,98
S081,三年B班,數學,85,75,80,63,98
S081,三年B班,自然,75,73,74,63,98
S081,三年B班,社會,74,74,79,63,98
S082,三年B班,國文,63,67,75,75,62
S082,三年B班,英文,97,100,100,75,62
S082,三年B班,數學,47,84,82,75,62
S082,三年B班,自然,81,85,76,75,62
S082,三年B班,社會,59,64,53,75,62
S083,三年B班,國文,81,85,80,66,83
S083,三年B班,英文,65,69,62,66,83
S083,三年B班,數學,58,59,57,66,83
S083,三年B班,自然,78,93,69,66,83
S083,三年B班,社會,62,65,60,66,83
S084,三年B班,國文,73,79,72,68,100
S084,三年B班,英文,86,96,93,68,100
S084,三年B班,數學,26,28,24,68,100
S084,三年B班,自然,89,90,83,68,100
S084,三年B班,社會,85,99,100,68,100
S085,三年B班,國文,68,82,68,64,55
S085,三年B班,英文,73,82,77,64,55
S085,三年B班,數學,64,69,63,64,55
S085,三年B班,自然,67,54,60,64,55
S085,三年B班,社會,72,73,74,64,55
S086,三年B班,國文,58,59,54,75,86
S086,三年B班,英文,69,74,66,75,86
S086,三年B班,數學,90,100,95,75,86
S086,三年B班,自然,61,54,43,75,86
S086,三年B班,社會,89,96,88,75,86
S087,三年B班,國文,64,80,76,98,58
S087,三年B班,英文,78,78,71,98,58
S087,三年B班,數學,62,53,46,98,58
S087,三年B班,自然,90,96,96,98,58
S087,三年B班,社會,89,99,96,98,58
S088,三年B班,國文,54,58,52,64,100
S088,三年B班,英文,72,80,65,64,100
S088,三年B班,數學,73,52,62,64,100
S088,三年B班,自然,71,80,82,64,100
S088,三年B班,社會,64,76,75,64,100
S089,三年B班,國文,63,60,70,70,91
S089,三年B班,英文,68,77,74,70,91
S089,三年B班,數學,64,55,51,70,91
S089,三年B班,自然,83,86,85,70,91
S089,三年B班,社會,67,75,74,70,91
S090,三年B班,國文,54,58,47,82,69
S090,三年B班,英文,85,97,100,82,69
S090,三年B班,數學,68,63,73,82,69
S090,三年B班,自然,88,85,84,82,69
S090,三年B班,社會,83,89,76,82,69
S091,三年B班,國文,88,90,82,87,75
S091,三年B班,英文,82,82,64,87,75
S091,三年B班,數學,88,100,87,87,75
S091,三年B班,自然,73,67,70,87,75
S091,三年B班,社會,63,58,55,87,75
S092,三年B班,國文,59,59,52,79,89
S092,三年B班,英文,80,86,74,79,89
S092,三年B班,數學,52,40,51,79,89
S092,三年B班,自然,79,76,83,79,89
S092,三年B班,社會,96,100,93,79,89
S093,三年B班,國文,86,87,77,72,74
S093,三年B班,英文,81,86,88,72,74
S093,三年B班,數學,58,70,47,72,74
S093,三年B班,自然,76,77,73,72,74
S093,三年B班,社會,77,65,85,72,74
S094,三年B班,國文,75,96,97,94,63
S094,三年B班,英文,50,88,72,94,63
S094,三年B班,數學,44,53,45,94,63
S094,三年B班,自然,58,59,63,94,63
S094,三年B班,社會,77,78,80,94,63
S095,三年C班,國文,64,67,63,77,88
S095,三年C班,英文,97,100,100,77,88
S095,三年C班,數學,72,55,81,77,88
S095,三年C班,自然,91,87,78,77,88
S095,三年C班,社會,70,66,61,77,88
S096,三年C班,國文,83,98,95,100,100
S096,三年C班,英文,84,88,100,100,100
S096,三年C班,數學,66,70,60,100,100
S096,三年C班,自然,71,77,68,100,100
S096,三年C班,社會,81,85,79,100,100
S097,三年C班,國文,79,67,61,96,81
S097,三年C班,英文,50,53,50,96,81
S097,三年C班,數學,80,87,94,96,81
S097,三年C班,自然,63,73,65,96,81
S097,三年C班,社會,89,99,84,96,81
S098,三年C班,國文,59,63,61,74,77
S098,三年C班,英文,75,85,72,74,77
S098,三年C班,數學,35,38,36,74,77
S098,三年C班,自然,55,64,62,74,77
S098,三年C班,社會,70,76,74,74,77
S099,三年C班,國文,67,71,68,69,54
S099,三年C班,英文,45,32,49,69,54
S099,三年C班,數學,65,73,52,69,54
S099,三年C班,自然,89,95,95,69,54
S099,三年C班,社會,57,58,56,69,54
S100,三年C班,國文,49,38,42,79,63
S100,三年C班,英文,94,100,100,79,63
S100,三年C班,數學,72,46,59,79,63
S100,三年C班,自然,75,80,71,79,63
S100,三年C班,社會,85,100,88,79,63
S101,三年C班,國文,68,69,62,64,50
S101,三年C班,英文,63,53,62,64,50
S101,三年C班,數學,37,34,29,64,50
S101,三年C班,自然,66,63,65,64,50
S101,三年C班,社會,79,68,74,64,50
S102,三年C班,國文,47,37,47,63,65
S102,三年C班,英文,58,78,63,63,65
S102,三年C班,數學,36,49,42,63,65
S102,三年C班,自然,67,61,65,63,65
S102,三年C班,社會,95,100,100,63,65
S103,三年C班,國文,67,55,56,64,66
S103,三年C班,英文,79,78,81,64,66
S103,三年C班,數學,38,30,53,64,66
S103,三年C班,自然,76,68,72,64,66
S103,三年C班,社會,92,89,94,64,66
S104,三年C班,國文,58,59,50,80,65
S104,三年C班,英文,55,70,69,80,65
S104,三年C班,數學,18,37,31,80,65
S104,三年C班,自然,75,72,74,80,65
S104,三年C班,社會,86,81,80,80,65
S105,三年C班,國文,79,69,87,91,99
S105,三年C班,英文,98,83,90,91,99
S105,三年C班,數學,80,86,82,91,99
S105,三年C班,自然,62,71,70,91,99
S105,三年C班,社會,84,84,83,91,99
S106,三年C班,國文,98,91,99,86,94
S106,三年C班,英文,51,52,65,86,94
S106,三年C班,數學,74,68,93,86,94
S106,三年C班,自然,54,66,63,86,94
S106,三年C班,社會,100,100,98,86,94
S107,三年C班,國文,70,76,68,88,79
S107,三年C班,英文,73,95,92,88,79
S107,三年C班,數學,56,42,62,88,79
S107,三年C班,自然,87,92,90,88,79
S107,三年C班,社會,77,80,75,88,79
S108,三年C班,國文,67,67,61,66,79
S108,三年C班,英文,71,64,60,66,79
S108,三年C班,數學,28,5,3,66,79
S108,三年C班,自然,79,83,97,66,79
S108,三年C班,社會,86,100,100,66,79
S109,三年C班,國文,78,69,78,96,77
S109,三年C班,英文,77,73,89,96,77
S109,三年C班,數學,53,48,48,96,77
S109,三年C班,自然,69,74,80,96,77
S109,三年C班,社會,59,63,76,96,77
S110,三年C班,國文,71,56,66,82,80
S110,三年C班,英文,62,67,75,82,80
S110,三年C班,數學,46,58,55,82,80
S110,三年C班,自然,100,100,100,82,80
S110,三年C班,社會,95,100,100,82,80
S111,三年C班,國文,100,95,95,84,72
S111,三年C班,英文,88,77,75,84,72
S111,三年C班,數學,53,58,69,84,72
S111,三年C班,自然,38,43,40,84,72
S111,三年C班,社會,72,74,64,84,72
S112,三年C班,國文,61,66,47,81,95
S112,三年C班,英文,84,96,80,81,95
S112,三年C班,數學,62,56,47,81,95
S112,三年C班,自然,67,82,67,81,95
S112,三年C班,社會,83,81,93,81,95
S113,三年C班,國文,65,81,72,99,100
S113,三年C班,英文,60,75,69,99,100
S113,三年C班,數學,82,70,67,99,100
S113,三年C班,自然,95,96,94,99,100
S113,三年C班,社會,76,80,66,99,100
S114,三年C班,國文,52,53,53,100,96
S114,三年C班,英文,81,83,69,100,96
S114,三年C班,數學,82,99,83,100,96
S114,三年C班,自然,67,69,65,100,96
S114,三年C班,社會,64,77,76,100,96
S115,三年C班,國文,75,74,73,80,66
S115,三年C班,英文,49,67,66,80,66
S115,三年C班,數學,57,65,64,80,66
S115,三年C班,自然,64,65,72,80,66
S115,三年C班,社會,70,58,63,80,66
S116,三年C班,國文,77,88,89,96,85
S116,三年C班,英文,64,82,77,96,85
S116,三年C班,數學,65,85,84,96,85
S116,三年C班,自然,59,70,57,96,85
S116,三年C班,社會,74,75,79,96,85
S117,三年C班,國文,72,77,76,89,66
S117,三年C班,英文,62,38,46,89,66
S117,三年C班,數學,32,31,13,89,66
S117,三年C班,自然,63,73,60,89,66
S117,三年C班,社會,87,83,92,89,66
S118,三年C班,國文,52,51,52,99,59
S118,三年C班,英文,91,87,98,99,59
S118,三年C班,數學,58,51,41,99,59
S118,三年C班,自然,92,80,81,99,59
S118,三年C班,社會,77,63,77,99,59
S119,三年C班,國文,61,62,49,99,87
S119,三年C班,英文,57,76,59,99,87
S119,三年C班,數學,59,74,59,99,87
S119,三年C班,自然,82,93,87,99,87
S119,三年C班,社會,63,54,60,99,87
S120,三年C班,國文,79,100,91,90,67
S120,三年C班,英文,64,80,73,90,67
S120,三年C班,數學,54,42,53,90,67
S120,三年C班,自然,53,59,60,90,67
S120,三年C班,社會,57,72,57,90,67
S121,三年C班,國文,64,73,74,70,54
S121,三年C班,英文,63,72,53,70,54
S121,三年C班,數學,24,36,34,70,54
S121,三年C班,自然,53,59,57,70,54
S121,三年C班,社會,65,69,66,70,54
S122,三年C班,國文,81,89,83,76,97
S122,三年C班,英文,86,73,79,76,97
S122,三年C班,數學,76,58,70,76,97
S122,三年C班,自然,67,57,62,76,97
S122,三年C班,社會,70,85,77,76,97
S123,三年C班,國文,91,84,83,77,77
S123,三年C班,英文,84,87,90,77,77
S123,三年C班,數學,92,91,90,77,77
S123,三年C班,自然,90,89,94,77,77
S123,三年C班,社會,72,91,87,77,77
S124,三年C班,國文,82,92,80,75,53
S124,三年C班,英文,55,45,54,75,53
S124,三年C班,數學,75,94,89,75,53
S124,三年C班,自然,74,88,86,75,53
S124,三年C班,社會,47,37,45,75,53
S125,三年C班,國文,66,81,61,95,61
S125,三年C班,英文,55,74,56,95,61
S125,三年C班,數學,65,90,73,95,61
S125,三年C班,自然,80,85,86,95,61
S125,三年C班,社會,58,56,63,95,61
S126,三年C班,國文,83,88,87,93,69
S126,三年C班,英文,44,75,75,93,69
S126,三年C班,數學,86,95,100,93,69
S126,三年C班,自然,67,72,70,93,69
S126,三年C班,社會,59,62,47,93,69
S127,三年C班,國文,63,70,52,87,90
S127,三年C班,英文,65,85,67,87,90
S127,三年C班,數學,66,71,73,87,90
S127,三年C班,自然,64,55,57,87,90
S127,三年C班,社會,100,100,100,87,90
S128,三年C班,國文,69,63,65,68,71
S128,三年C班,英文,89,77,88,68,71
S128,三年C班,數學,60,52,59,68,71
S128,三年C班,自然,73,69,67,68,71
S128,三年C班,社會,63,73,73,68,71
S129,三年C班,國文,66,68,73,67,76
S129,三年C班,英文,89,83,89,67,76
S129,三年C班,數學,44,34,30,67,76
S129,三年C班,自然,69,72,63,67,76
S129,三年C班,社會,78,71,71,67,76
S130,三年C班,國文,77,80,70,95,81
S130,三年C班,英文,75,74,56,95,81
S130,三年C班,數學,64,86,86,95,81
S130,三年C班,自然,62,62,75,95,81
S130,三年C班,社會,81,92,84,95,81
S131,三年C班,國文,93,100,100,87,97
S131,三年C班,英文,87,100,84,87,97
S131,三年C班,數學,64,55,49,87,97
S131,三年C班,自然,82,85,76,87,97
S131,三年C班,社會,82,78,95,87,97
S132,三年C班,國文,69,65,69,66,76
S132,三年C班,英文,50,43,60,66,76
S132,三年C班,數學,44,38,46,66,76
S132,三年C班,自然,66,72,73,66,76
S132,三年C班,社會,64,69,67,66,76
S133,三年C班,國文,55,52,56,81,83
S133,三年C班,英文,82,73,90,81,83
